"Country","Happiness Score"
"Switzerland",10000
"Iceland",9945.2401010952
"Denmark",9873.63100252738
"Norway",9863.100252738
"Canada",9663.01600673968
"Finland",9618.78685762426
"Netherlands",9559.81465880371
"Sweden",9530.32855939343
"New Zealand",9366.04886267902
"Australia",9361.83656276327
"Israel",9349.19966301601
"Costa Rica",9239.6798652064
"Austria",9184.9199663016
"Mexico",9157.5400168492
"United States",9014.32181971356
"Brazil",8727.88542544229
"Luxembourg",8649.95787700084
"Ireland",8637.32097725358
"Belgium",8631.00252737995
"United Arab Emirates",8555.18112889638
"United Kingdom",8483.57203032856
"Oman",8454.08593091828
"Venezuela",8363.52148272957
"Singapore",8338.24768323505
"Panama",8312.97388374052
"Germany",8237.15248525695
"Chile",8068.66048862679
"Qatar",7944.39764111205
"France",7868.57624262848
"Argentina",7866.4700926706
"Czech Republic",7721.14574557709
"Uruguay",7679.02274641955
"Colombia",7662.17354675653
"Thailand",7615.83824768324
"Saudi Arabia",7523.16764953665
"Spain",7350.46335299073
"Malta",7293.59730412805
"Taiwan",7285.17270429655
"Kuwait",7278.85425442292
"Suriname",7224.09435551811
"Trinidad and Tobago",7011.37320977254
"El Salvador",6931.33951137321
"Guatemala",6916.59646166807
"Uzbekistan",6663.85846672283
"Slovakia",6647.00926705982
"Japan",6630.1600673968
"South Korea",6623.84161752317
"Ecuador",6604.88626790227
"Bahrain",6573.29401853412
"Italy",6548.0202190396
"Bolivia",6425.86352148273
"Moldova",6423.75737152485
"Paraguay",6400.58972198821
"Kazakhstan",6352.14827295704
"Slovenia",6337.4052232519
"Lithuania",6305.81297388374
"Nicaragua",6295.28222409436
"Peru",6286.85762426285
"Belarus",6263.6899747262
"Poland",6217.35467565291
"Malaysia",6173.12552653749
"Croatia",6149.95787700084
"Libya",6139.42712721146
"Russia",6059.39342881213
"Jamaica",6044.65037910699
"North Cyprus",6015.16427969672
"Cyprus",6002.52737994945
"Algeria",5825.61078348779
"Kosovo",5791.91238416175
"Turkmenistan",5705.5602358888
"Mauritius",5556.02358887953
"Hong Kong",5549.7051390059
"Estonia",5454.92839090143
"Indonesia",5391.74389216512
"Vietnam",5309.60404380792
"Turkey",5250.63184498736
"Kyrgyzstan",5153.74894692502
"Nigeria",5115.83824768323
"Bhutan",5084.24599831508
"Azerbaijan",4997.89385004212
"Pakistan",4959.98315080034
"Jordan",4955.77085088458
"Montenegro",4955.77085088458
"China",4846.25105307498
"Zambia",4823.08340353833
"Romania",4812.55265374895
"Serbia",4810.44650379107
"Portugal",4766.21735467565
"Latvia",4757.79275484414
"Philippines",4705.13900589722
"Somaliland region",4671.44060657119
"Morocco",4578.7700084246
"Macedonia",4566.13310867734
"Mozambique",4490.31171019377
"Albania",4465.03791069924
"Bosnia and Herzegovina",4443.97641112047
"Lesotho",4336.56276326874
"Dominican Republic",4309.18281381634
"Laos",4290.22746419545
"Mongolia",4286.0151642797
"Swaziland",4271.27211457456
"Greece",4250.21061499579
"Lebanon",4212.299915754
"Hungary",4130.1600673968
"Honduras",4104.88626790227
"Tajikistan",4100.67396798652
"Tunisia",4001.6849199663
"Palestinian Territories",3951.13732097725
"Bangladesh",3906.90817186184
"Iran",3890.05897219882
"Ukraine",3879.52822240944
"Iraq",3871.10362257793
"South Africa",3797.38837405223
"Ghana",3778.43302443134
"Zimbabwe",3729.99157540017
"Liberia",3647.85172704297
"India",3635.2148272957
"Sudan",3603.62257792755
"Haiti",3536.22577927548
"Congo (Kinshasa)",3534.11962931761
"Nepal",3527.80117944398
"Ethiopia",3523.58887952822
"Sierra Leone",3513.05812973884
"Mauritania",3363.52148272957
"Kenya",3327.71693344566
"Djibouti",3222.40943555181
"Armenia",3182.39258635215
"Botswana",3144.48188711036
"Myanmar",3091.82813816344
"Georgia",3070.76663858467
"Malawi",3060.23588879528
"Sri Lanka",3016.00673967987
"Cameroon",2975.9898904802
"Bulgaria",2904.38079191239
"Egypt",2853.83319292334
"Yemen",2607.41364785173
"Angola",2514.74304970514
"Mali",2434.70935130581
"Congo (Brazzaville)",2422.07245155855
"Comoros",2352.56950294861
"Uganda",2299.91575400169
"Senegal",2243.04970513901
"Gabon",2226.20050547599
"Niger",2118.78685762426
"Cambodia",2064.02695871946
"Tanzania",1983.99326032014
"Madagascar",1773.37826453243
"Central African Republic",1767.0598146588
"Chad",1743.89216512216
"Guinea",1720.72451558551
"Ivory Coast",1718.61836562763
"Burkina Faso",1575.400168492
"Afghanistan",1550.12636899747
"Rwanda",1318.449873631
"Benin",1055.18112889638
"Syria",351.727042965459
"Burundi",139.005897219882
"Togo",0
